basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14186110,NA,44.4492944,NA,-122.5496667,NA,2019-05-31T07:15:00Z,NA,"Green Peter Dam Tailwater Near Foster, Or",NA,NA,698.32,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14186200,NA,44.44818005,NA,-122.5503613,NA,2019-05-31T07:15:00Z,NA,"Middle Santiam R Blw Green Peter Dam Nr Foster, Or",NA,NA,702.17,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14186600,NA,44.41475278,NA,-122.670225,NA,2019-05-31T07:15:00Z,NA,"Foster Lake At Foster, Or",NA,NA,636.68,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14186610,NA,44.41479444,NA,-122.6713556,NA,2019-05-31T07:15:00Z,NA,"Foster Dam Tailwater At Foster, Or",NA,NA,525.78,or
NA,NA,37.4,NA,NA,NA,NA,NA,9640,NA,NA,14187000,NA,44.37234769,NA,-122.6231384,NA,2019-05-31T07:00:00Z,NA,"Wiley Creek Near Foster, Or",NA,NA,1.79,or
NA,NA,1160,NA,NA,NA,NA,NA,28700,NA,NA,14187200,NA,44.4123468,NA,-122.6886956,NA,2019-05-31T07:00:00Z,NA,"South Santiam River Near Foster, Or",NA,NA,10.86,or
NA,NA,1250,NA,NA,NA,NA,NA,95200,NA,WTLO3,14187500,NA,44.4984564,NA,-122.8234214,NA,2019-05-31T06:15:00Z,NA,"South Santiam River At Waterloo, Or",NA,12,3.24,or
NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,14187600,NA,44.51484526,NA,-122.8648109,NA,2019-05-31T07:30:00Z,NA,"Lebanon Santiam Canal Near Lebanon, Or",NA,NA,3.04,or
NA,NA,1.85,NA,NA,NA,NA,NA,400,NA,SLCO3,14188610,NA,44.61956728,NA,-122.4659162,NA,2019-05-31T07:45:00Z,NA,"Schafer Creek Near Lacomb, Or",NA,NA,3.9,or
NA,NA,103,NA,NA,NA,NA,NA,27400,NA,TRSO3,14188800,NA,44.71206687,NA,-122.7700878,NA,2019-05-31T06:45:00Z,NA,"Thomas Creek Near Scio, Or",NA,18,4.8,or
NA,NA,3160,NA,NA,NA,NA,NA,202000,NA,JFFO3,14189000,NA,44.7147222,NA,-123.01425,NA,2019-05-31T07:15:00Z,NA,"Santiam River At Jefferson, Or",NA,15,3.13,or
NA,NA,101,NA,NA,NA,NA,NA,32900,NA,SUVO3,14190500,NA,44.78317527,NA,-123.2345435,NA,2019-05-31T07:50:00Z,NA,"Luckiamute River Near Suver, Or",NA,27,3.98,or
NA,NA,14500,NA,NA,NA,NA,NA,500000,NA,SLMO3,14191000,NA,44.9442863,NA,-123.0428742,NA,2019-05-31T07:00:00Z,NA,"Willamette River At Salem, Or",NA,28,7.41,or
NA,NA,256,NA,NA,NA,NA,NA,47100,NA,MCMO3,14194150,NA,45.2056719,NA,-123.1826047,NA,2019-05-31T07:00:00Z,NA,"South Yamhill River At Mcminnville, Or",NA,50,12.84,or
NA,NA,16300,NA,NA,NA,NA,NA,175000,NA,NA,14197900,NA,45.2845625,NA,-122.9614893,NA,2019-05-31T05:00:00Z,NA,"Willamette River At Newberg, Or",NA,NA,56.15,or
NA,NA,0.37,NA,NA,NA,NA,NA,250,NA,NA,14198400,NA,44.9609,NA,-122.385,NA,2019-05-31T07:15:00Z,NA,"Bull Creek Near Wilhoit, Or",NA,NA,5.49,or
NA,NA,0.76,NA,NA,NA,NA,NA,33,NA,NA,14199704,NA,45.2052333,NA,-122.4120018,NA,2019-05-31T07:45:00Z,NA,"Nate Creek Tributary Near Colton, Or",NA,NA,1.74,or
NA,NA,328,NA,NA,NA,NA,NA,43600,NA,CANO3,14200000,NA,45.24428767,NA,-122.687314,NA,2019-05-31T07:00:00Z,NA,"Molalla River Near Canby, Or",NA,23,10.51,or
NA,NA,1.28,NA,NA,NA,NA,NA,761,NA,NA,14200100,NA,44.97680556,NA,-122.830111,NA,2017-10-04T16:45:00Z,NA,"Drift Creek Near Silverton, Or",NA,NA,NA,or
NA,NA,46.7,NA,NA,NA,NA,NA,5900,NA,SCSO3,14200300,NA,45.0092878,NA,-122.7887014,NA,2019-05-31T07:00:00Z,NA,"Silver Creek At Silverton, Or",NA,9.1,1.45,or
NA,NA,67.6,NA,NA,NA,NA,NA,5980,NA,AQSO3,14200700,NA,45.03145,NA,-122.7908306,NA,2019-05-31T07:00:00Z,NA,"Abiqua Creek At Silverton, Or",NA,12.3,4.71,or
